questions/id,questions/text,questions/question_type,questions/options,questions/correct_answer,questions/difficulty
1,"¿Qué número continúa la secuencia? 3, 6, 12, 24, ...",logical,"[""36"", ""48"", ""30"", ""60""]",48,1.2
2,"Si todos los perros son fieles y algunos fieles son valientes, entonces:",logical,"[""Todos los perros son valientes"", ""Algunos perros son valientes"", ""Ningún perro es valiente"", ""No se puede determinar""]",No se puede determinar,1.4
3,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra CEREBRO?",logical,"[""64"", ""66"", ""68"", ""70""]",66,1.6
4,"Identifica el intruso: Sol, Luna, Estrella, Río",logical,"[""Sol"", ""Luna"", ""Estrella"", ""Río""]",Río,1.8
5,Completa la analogía: Agua es a Sed como Dinero es a...,logical,"[""Trabajo"", ""Riqueza"", ""Pobreza"", ""Necesidad""]",Necesidad,1
6,"Si hoy es lunes, ¿qué día será dentro de 15 días?",logical,"[""Martes"", ""Miércoles"", ""Jueves"", ""Lunes""]",Martes,1.2
7,"¿Qué número falta en la serie? 5, 10, 20, 40, ?",logical,"[""60"", ""70"", ""80"", ""100""]",80,1.4
8,Un tren viaja a 100 km/h. ¿Cuánto tardará en recorrer 200 km?,logical,"[""1 hora"", ""2 horas"", ""3 horas"", ""4 horas""]",2 horas,1.6
9,"Si 2x = 10, ¿cuánto vale x?",logical,"[""2"", ""3"", ""4"", ""5""]",5,1.8
10,"¿Qué número continúa la secuencia? 3, 6, 12, 24, ...",logical,"[""36"", ""48"", ""30"", ""60""]",48,1.2
11,"Si todos los perros son fieles y algunos fieles son valientes, entonces:",logical,"[""Todos los perros son valientes"", ""Algunos perros son valientes"", ""Ningún perro es valiente"", ""No se puede determinar""]",No se puede determinar,1.4
12,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra CEREBRO?",logical,"[""64"", ""66"", ""68"", ""70""]",66,1.6
13,"Identifica el intruso: Sol, Luna, Estrella, Río",logical,"[""Sol"", ""Luna"", ""Estrella"", ""Río""]",Río,1.8
14,Completa la analogía: Agua es a Sed como Dinero es a...,logical,"[""Trabajo"", ""Riqueza"", ""Pobreza"", ""Necesidad""]",Necesidad,1
15,"Si hoy es lunes, ¿qué día será dentro de 15 días?",logical,"[""Martes"", ""Miércoles"", ""Jueves"", ""Lunes""]",Martes,1.2
16,"¿Qué número falta en la serie? 5, 10, 20, 40, ?",logical,"[""60"", ""70"", ""80"", ""100""]",80,1.4
17,Un tren viaja a 100 km/h. ¿Cuánto tardará en recorrer 200 km?,logical,"[""1 hora"", ""2 horas"", ""3 horas"", ""4 horas""]",2 horas,1.6
18,"Si 2x = 10, ¿cuánto vale x?",logical,"[""2"", ""3"", ""4"", ""5""]",5,1.8
19,"Si todos los cuervos son negros y este pájaro no es negro, entonces:",logical,"[""Es un cuervo"", ""No es un cuervo"", ""Es un ave"", ""No se puede determinar""]",No es un cuervo,1
20,"Selecciona la palabra que no pertenece: Casa, Edificio, Coche, Cabaña",verbal,"[""Casa"", ""Edificio"", ""Coche"", ""Cabaña""]",Coche,1.2
21,Completa la analogía: Pluma es a Escribir como Guitarra es a...,verbal,"[""Música"", ""Cuerda"", ""Sonido"", ""Tocar""]",Tocar,1.4
22,¿Cuál es el antónimo de 'rápido'?,verbal,"[""Ágil"", ""Veloz"", ""Lento"", ""Ligero""]",Lento,1.6
23,La palabra 'felicidad' se relaciona con:,verbal,"[""Alegría"", ""Tristeza"", ""Miedo"", ""Dolor""]",Alegría,1.8
24,Selecciona el sinónimo de 'valiente':,verbal,"[""Cobarde"", ""Atrevido"", ""Débil"", ""Frágil""]",Atrevido,1
25,"Completa la frase: Si ríes, es porque estás...",verbal,"[""Triste"", ""Contento"", ""Asustado"", ""Enojado""]",Contento,1.2
26,¿Cuál palabra está mal escrita?,verbal,"[""Avión"", ""Camión"", ""Balón"", ""Vision""]",Vision,1.4
27,¿Qué significa la palabra 'efímero'?,verbal,"[""Duradero"", ""Corto"", ""Rápido"", ""Grande""]",Corto,1.6
28,"¿Cuál palabra forma parte de la misma categoría? Perro, Gato, León, Tigre",verbal,"[""Perro"", ""Gato"", ""León"", ""Tigre""]",Perro,1.8
29,Completa la analogía: Maestro es a Enseñar como Doctor es a...,verbal,"[""Curar"", ""Enfermedad"", ""Paciente"", ""Medicamento""]",Curar,1
30,¿Cuál es la raíz cuadrada de 225?,mathematical,"[""13"", ""14"", ""15"", ""16""]",15,1.2
31,"Si 5x = 25, entonces x =",mathematical,"[""4"", ""5"", ""6"", ""7""]",5,1.4
32,¿Cuál es el resultado de 7 × 8?,mathematical,"[""54"", ""55"", ""56"", ""57""]",56,1.6
33,"Si tienes 3 manzanas y compras 5 más, ¿cuántas tienes en total?",mathematical,"[""6"", ""7"", ""8"", ""9""]",8,1.8
34,¿Cuál es el número primo?,mathematical,"[""21"", ""29"", ""33"", ""35""]",29,1
35,¿Cuál es el resultado de 100 ÷ 4?,mathematical,"[""20"", ""25"", ""30"", ""40""]",25,1.2
36,"Si x=3, ¿cuánto vale 2x + 5?",mathematical,"[""10"", ""11"", ""12"", ""13""]",11,1.4
37,¿Cuál es el doble de 64?,mathematical,"[""120"", ""126"", ""128"", ""130""]",128,1.6
38,¿Cuál es el 25% de 200?,mathematical,"[""25"", ""40"", ""50"", ""60""]",50,1.8
39,¿Cuál es el siguiente número primo después de 11?,mathematical,"[""12"", ""13"", ""14"", ""15""]",13,1
40,"Si un cubo tiene todas sus caras pintadas y luego se corta en 8 cubos más pequeños, ¿cuántos de los cubos pequeños tendrán exactamente 3 caras pintadas?",spatial,"[""2"", ""4"", ""6"", ""8""]",8,1.2
41,Imagina un cuadrado doblado por la mitad dos veces. ¿Cuántos rectángulos pequeños se forman?,spatial,"[""2"", ""3"", ""4"", ""5""]",4,1.4
42,"Si un triángulo tiene todos sus lados iguales, se llama:",spatial,"[""Isósceles"", ""Escaleno"", ""Equilátero"", ""Rectángulo""]",Equilátero,1.6
43,Un hexágono tiene:,spatial,"[""5 lados"", ""6 lados"", ""7 lados"", ""8 lados""]",6 lados,1.8
44,"Si colocas dos triángulos rectángulos iguales por sus lados más largos, forman un:",spatial,"[""Cuadrado"", ""Rectángulo"", ""Círculo"", ""Trapecio""]",Rectángulo,1
45,¿Cuántas diagonales tiene un cuadrado?,spatial,"[""1"", ""2"", ""3"", ""4""]",2,1.2
46,¿Cuál figura tiene todos sus lados y ángulos iguales?,spatial,"[""Triángulo isósceles"", ""Círculo"", ""Cuadrado"", ""Trapecio""]",Cuadrado,1.4
47,"Si giras una figura 90 grados en sentido horario, su orientación es:",spatial,"[""Igual"", ""Diferente"", ""Simétrica"", ""Inversa""]",Diferente,1.6
48,¿Qué figura tiene más lados?,spatial,"[""Pentágono"", ""Hexágono"", ""Heptágono"", ""Octágono""]",Octágono,1.8
49,"Si doblas un rectángulo a la mitad, su forma sigue siendo:",spatial,"[""Cuadrado"", ""Rectángulo"", ""Triángulo"", ""Trapecio""]",Rectángulo,1
50,"¿Qué número sigue en la serie? 1, 4, 9, 16, ...",logical,"[""20"",""25"",""30"",""36""]",25,1.3
51,"Si todos los gatos son mamíferos y algunos mamíferos son carnívoros, entonces:",logical,"[""Todos los gatos son carnívoros"",""Algunos gatos son carnívoros"",""Ningún gato es carnívoro"",""No se puede determinar""]",No se puede determinar,1.6
52,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1.9
53,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1
54,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.3
55,"¿Qué número sigue en la serie? 1, 4, 9, 16, ...",logical,"[""20"",""25"",""30"",""36""]",25,1.6
56,"Si todos los gatos son mamíferos y algunos mamíferos son carnívoros, entonces:",logical,"[""Todos los gatos son carnívoros"",""Algunos gatos son carnívoros"",""Ningún gato es carnívoro"",""No se puede determinar""]",No se puede determinar,1.9
57,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1
58,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1.3
59,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.6
60,"¿Qué número sigue en la serie? 1, 4, 9, 16, ...",logical,"[""20"",""25"",""30"",""36""]",25,1.9
61,"Si todos los gatos son mamíferos y algunos mamíferos son carnívoros, entonces:",logical,"[""Todos los gatos son carnívoros"",""Algunos gatos son carnívoros"",""Ningún gato es carnívoro"",""No se puede determinar""]",No se puede determinar,1
62,"Si A=1, B=2, ..., Z=26, ¿cuánto vale la palabra LOGICA?",logical,"[""45"",""50"",""55"",""60""]",45,1.3
63,"Identifica el intruso: Rojo, Azul, Verde, Nube",logical,"[""Rojo"",""Azul"",""Verde"",""Nube""]",Nube,1.6
64,Completa la analogía: Llave es a Puerta como Contraseña es a...,logical,"[""Internet"",""Cerradura"",""Acceso"",""Archivo""]",Acceso,1.9
65,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",verbal,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1
66,Completa la analogía: Martillo es a Clavo como Tijeras es a...,verbal,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.3
67,¿Cuál es el antónimo de 'fuerte'?,verbal,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1.6
68,El sinónimo de 'rápido' es:,verbal,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1.9
69,¿Cuál de estas palabras está relacionada con 'sabiduría'?,verbal,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1
70,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",verbal,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1.3
71,Completa la analogía: Martillo es a Clavo como Tijeras es a...,verbal,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.6
72,¿Cuál es el antónimo de 'fuerte'?,verbal,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1.9
73,El sinónimo de 'rápido' es:,verbal,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1
74,¿Cuál de estas palabras está relacionada con 'sabiduría'?,verbal,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1.3
75,"Selecciona la palabra que no pertenece: León, Tigre, Perro, Gato",mathematical,"[""León"",""Tigre"",""Perro"",""Gato""]",Perro,1.6
76,Completa la analogía: Martillo es a Clavo como Tijeras es a...,mathematical,"[""Cortar"",""Papel"",""Tela"",""Hilo""]",Cortar,1.9
77,¿Cuál es el antónimo de 'fuerte'?,mathematical,"[""Débil"",""Robusto"",""Grande"",""Sólido""]",Débil,1
78,El sinónimo de 'rápido' es:,mathematical,"[""Ágil"",""Lento"",""Pesado"",""Tardo""]",Ágil,1.3
79,¿Cuál de estas palabras está relacionada con 'sabiduría'?,mathematical,"[""Conocimiento"",""Ignorancia"",""Torpeza"",""Miedo""]",Conocimiento,1.6
80,¿Cuál es la raíz cuadrada de 169?,mathematical,"[""11"",""12"",""13"",""14""]",13,1.9
81,"Si 3x = 21, entonces x =",mathematical,"[""5"",""6"",""7"",""8""]",7,1
82,¿Cuál es el resultado de 9 × 6?,mathematical,"[""52"",""53"",""54"",""55""]",54,1.3
83,¿Cuánto es 15 + 27?,mathematical,"[""41"",""42"",""43"",""44""]",42,1.6
84,¿Cuál es el número primo?,mathematical,"[""27"",""31"",""35"",""39""]",31,1.9
85,¿Cuál es la raíz cuadrada de 169?,spatial,"[""11"",""12"",""13"",""14""]",13,1
86,"Si 3x = 21, entonces x =",spatial,"[""5"",""6"",""7"",""8""]",7,1.3
87,¿Cuál es el resultado de 9 × 6?,spatial,"[""52"",""53"",""54"",""55""]",54,1.6
88,¿Cuánto es 15 + 27?,spatial,"[""41"",""42"",""43"",""44""]",42,1.9
89,¿Cuál es el número primo?,spatial,"[""27"",""31"",""35"",""39""]",31,1
90,¿Cuál es la raíz cuadrada de 169?,spatial,"[""11"",""12"",""13"",""14""]",13,1.3
91,"Si 3x = 21, entonces x =",spatial,"[""5"",""6"",""7"",""8""]",7,1.6
92,¿Cuál es el resultado de 9 × 6?,spatial,"[""52"",""53"",""54"",""55""]",54,1.9
93,¿Cuánto es 15 + 27?,spatial,"[""41"",""42"",""43"",""44""]",42,1
94,¿Cuál es el número primo?,spatial,"[""27"",""31"",""35"",""39""]",31,1.3
95,"Si cortas un cubo en 27 cubos pequeños, ¿cuántos tendrán exactamente 1 cara pintada?",spatial,"[""6"",""8"",""12"",""18""]",6,1.6
96,Un triángulo rectángulo tiene:,spatial,"[""Un ángulo de 90°"",""Todos iguales"",""Ninguno igual"",""Dos lados iguales""]",Un ángulo de 90°,1.9
97,Un pentágono tiene:,spatial,"[""4 lados"",""5 lados"",""6 lados"",""7 lados""]",5 lados,1
98,"Si doblas un triángulo equilátero a la mitad, obtienes:",spatial,"[""Dos triángulos iguales"",""Un cuadrado"",""Un rectángulo"",""Un trapecio""]",Dos triángulos iguales,1.3
99,La figura con más lados de estas opciones es:,spatial,"[""Hexágono"",""Octágono"",""Pentágono"",""Cuadrado""]",Octágono,1.6
